Nombre;Fecha;Valor1Euro;VariacionPorc;VariacionMes;VariacionAño;ValorenEuros
Rupias nepalies;18/01/2019;129,6179;-0,22%;-0,48%;3,64%;0,007714984
Rupias paquistanies;22/03/2022;199,6824;-0,31%;0,33%;7,67%;0,005007953
Soles;21/03/2022;4,1746;0,83%;-0,95%;-5,37%;0,239543908
Takas;16/03/2022;94,1958;0,12%;-3,57%;-6,89%;0,010616185
Tenges;31/01/2019;436,6129;1,13%;0,20%;8,55%;0,002290358
Won surcoreanos;23/03/2022;1.337,76;-0,45%;-0,92%;-0,35%;0,000747518
Yenes japoneses;23/03/2022;132,65;-0,23%;1,59%;2,84%;0,007538636
Yuanes chinos;23/03/2022;7,0003;-0,19%;-2,32%;-9,52%;0,142851021
Zlotys polacos;23/03/2022;4,7052;0,43%;3,45%;1,86%;0,212530817
Libras esterlinas;24/03/2022;0,8329;0,01%;-0,21%;-3,43%;1,200624325
Dólares USA;24/03/2022;1,0978;-0,06%;-1,66%;-7,16%;0,910912735
Yenes japoneses;24/03/2022;133,71;0,80%;4,23%;3,97%;0,007478872
Yuanes chinos;24/03/2022;6,9933;-0,10%;-0,95%;-9,33%;0,142994009
Leks;24/03/2022;122,48;-0,26%;1,03%;-0,58%;0,008164598
Kwanzas;24/03/2022;500,0815;-0,22%;-9,94%;-31,93%;0,001999674
Riales;24/03/2022;4,1168;-0,06%;-1,66%;-7,84%;0,242907112
Dinares argelinos;24/03/2022;156,7586;0,07%;-0,29%;-1,20%;0,006379235
Pesos argentinos;30/10/2020;91,5953;0,01%;2,78%;38,84%;0,010917591
Drams;25/03/2022;538,2;0;-0,16%;-13,80%;0,001858045
Dólares australianos;24/03/2022;1,4668;-0,41%;-5,93%;-5,56%;0,681756204
Manat azeríes;18/03/2022;1,8832;0,39%;-2,53%;-7,35%;0,531011045
Takas;16/03/2022;94,1958;0,12%;-3,57%;-6,89%;0,010616185
Dinares;25/01/2019;0,4266;0,04%;-0,60%;-8,55%;2,344116268
Dólares Beliceños;24/03/2022;2,1962;0,11%;-1,64%;-7,14%;0,455331937
Rublos bielorrusos;27/02/2022;3,1375;4,78%;5,89%;-1,20%;0,3187251
Bolivianos;25/03/2022;7,5446;-0,12%;-1,78%;-6,95%;0,132545132
Marcos convertibles;25/03/2022;1,9558;0;0;0;0,511299724
Pulas;24/03/2022;12,6475;-0,06%;-2,11%;-3,10%;0,079067009
Reales brasileños;24/03/2022;5,3057;-1,57%;-6,71%;-18,70%;0,188476544
Dólares de Brunéi;24/03/2022;1,4908;0,02%;-1,19%;-6,31%;0,670780789
Levs;24/03/2022;1,9558;0;0;0;0,511299724
Dólares canadienses;24/03/2022;1,3806;-0,25%;-3,56%;-7,24%;0,724322758
Riyales cataries;24/03/2022;3,996;-0,06%;-1,66%;-7,16%;0,25025025
Pesos chilenos;25/03/2022;868,18;-0,68%;-3,76%;1,48%;0,001151835
Pesos colombianos;28/02/2022;4.379,53;-0,90%;-0,30%;0,70%;0,000228335
Won surcoreanos;24/03/2022;1.342,53;0,36%;-0,38%;0,33%;0,000744862
Kunas croatas;24/03/2022;7,5745;0,05%;0,30%;0,02%;0,132021916
Coronas danesas;24/03/2022;7,4397;0,02%;-0,01%;0,05%;0,134414022
Libras egipcias;27/05/2021;19,1215;-0,13%;0,96%;9,70%;0,052297152
Dirhams de Emiratos Árabes Unido;24/03/2022;4,0317;-0,06%;-1,66%;-7,16%;0,248034328
Pesos filipinos;25/03/2022;57,6056;-0,10%;0,10%;0,15%;0,017359423
Laris;25/03/2022;3,5561;-0,19%;1,51%;-9,99%;0,28120694
Cedi;24/03/2022;7,8149;-0,13%;7,99%;15,37%;0,12796069
Dólares de Hong Kong;24/03/2022;8,5897;-0,06%;-1,47%;-6,49%;0,116418501
Forints húngaros;24/03/2022;374,44;0,59%;1,58%;2,61%;0,002670655
Rupias indias;24/03/2022;83,879;-0,11%;-0,49%;-2,31%;0,011921935
Rupias indonesas;24/03/2022;15.778,31;-0,09%;-1,84%;-7,63%;6,33781E-05
Riales iraníes;15/01/2021;51.013,00;0;-0,05%;9,09%;1,96028E-05
Coronas islandesas;24/03/2022;141,2;-0,14%;-0,56%;-5,93%;0,007082153
Nuevos shéquels;24/03/2022;3,5461;0,15%;-3,16%;-8,88%;0,281999944
Tenges;31/01/2019;436,6129;1,13%;0,20%;8,55%;0,002290358
Chelines kenianos;25/03/2022;125,9412;-0,02%;-1,43%;-3,20%;0,007940213
Dinares kuwaities;24/03/2022;0,3338;-0,06%;-1,20%;-6,55%;2,995805872
Libras libanesas;16/03/2022;1.665,10;0,01%;-3,34%;-7,88%;0,000600565
Ringgits;24/03/2022;4,6396;-0,01%;-1,07%;-5,01%;0,215535822
Rufiyaa;24/03/2022;0,9103;0,45%;2,65%;7,83%;1,098538943
